Team_Name, Opponent_Name,Win_Type,Toss_Decision,Host_Country,Toss_Winner_Name,Match_Winner_Name,City_Name,Venue_Name,Match_Date,Won_By,Season_Id
Mumbai Indians,Chennai Super Kings,by runs,field,India,Mumbai Indians,Chennai Super Kings,Bangalore,M Chinnaswamy Stadium,4/18/08,140,1
Delhi Daredevils,Kolkatta Knight Riders,by runs,bat,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Chandigarh,"Punjab Cricket Association Stadium, Mohali",4/19/08,33,1
Royal Challengers Bangalore,Kings XI Punjab,by wickets,bat,India,Kings XI Punjab,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,4/19/08,9,1
Sunrisers Hyderabad,Mumbai Indians,by wickets,bat,India,Sunrisers Hyderabad,Mumbai Indians,Mumbai,Wankhede Stadium,4/20/08,5,1
Chennai Super Kings,Rajasthan Royals,by wickets,bat,India,Rajasthan Royals,Chennai Super Kings,Kolkata,Eden Gardens,4/20/08,5,1
Kings XI Punjab,Delhi Daredevils,by wickets,bat,India,Delhi Daredevils,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,4/21/08,6,1
Rajasthan Royals,Royal Challengers Bangalore,by wickets,bat,India,Rajasthan Royals,Royal Challengers Bangalore,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",4/22/08,9,1
Kolkatta Knight Riders,Sunrisers Hyderabad,by runs,field,India,Sunrisers Hyderabad,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",4/23/08,6,1
Rajasthan Royals,Kings XI Punjab,by wickets,field,India,Kings XI Punjab,Kings XI Punjab,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",4/24/08,3,1
Delhi Daredevils,Sunrisers Hyderabad,by runs,field,India,Sunrisers Hyderabad,Delhi Daredevils,Chandigarh,"Punjab Cricket Association Stadium, Mohali",4/25/08,66,1
Mumbai Indians,Kings XI Punjab,by wickets,field,India,Kings XI Punjab,Kings XI Punjab,Bangalore,M Chinnaswamy Stadium,4/26/08,7,1
Kolkatta Knight Riders,Chennai Super Kings,by wickets,bat,India,Chennai Super Kings,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",4/26/08,9,1
Sunrisers Hyderabad,Rajasthan Royals,by wickets,field,India,Rajasthan Royals,Rajasthan Royals ,Mumbai,Dr DY Patil Sports Academy,4/27/08,10,1
Delhi Daredevils,Royal Challengers Bangalore,by wickets,bat,India,Royal Challengers Bangalore,Delhi Daredevils,Chandigarh,"Punjab Cricket Association Stadium, Mohali",4/27/08,4,1
Mumbai Indians,Kolkatta Knight Riders,by runs,bat,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Bangalore,M Chinnaswamy Stadium,4/28/08,13,1
Chennai Super Kings,Sunrisers Hyderabad,by wickets,bat,India,Chennai Super Kings,Sunrisers Hyderabad,Kolkata,Eden Gardens,4/29/08,7,1
Royal Challengers Bangalore,Mumbai Indians,by runs,field,India,Mumbai Indians,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,4/30/08,10,1
Rajasthan Royals,Delhi Daredevils,by wickets,field,India,Delhi Daredevils,Delhi Daredevils,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5/1/08,7,1
Kings XI Punjab,Chennai Super Kings,by runs,bat,India,Kings XI Punjab,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,5/1/08,45,1
Kolkatta Knight Riders,Royal Challengers Bangalore,by wickets,bat,India,Kolkatta Knight Riders,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk",5/2/08,8,1
Rajasthan Royals,Mumbai Indians,by wickets,bat,India,Rajasthan Royals,Mumbai Indians,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5/25/08,5,1
Delhi Daredevils,Chennai Super Kings,by runs,bat,India,Delhi Daredevils,Delhi Daredevils,Chandigarh,"Punjab Cricket Association Stadium, Mohali",5/3/08,9,1
Sunrisers Hyderabad,Royal Challengers Bangalore,by runs,field,India,Royal Challengers Bangalore,Sunrisers Hyderabad,Mumbai,Dr DY Patil Sports Academy,5/4/08,29,1
Kings XI Punjab,Kolkatta Knight Riders,by wickets,bat,India,Kolkatta Knight Riders,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,5/4/08,8,1
Mumbai Indians,Delhi Daredevils,by wickets,field,India,Delhi Daredevils,Delhi Daredevils,Bangalore,M Chinnaswamy Stadium,5/5/08,6,1
Kolkatta Knight Riders,Rajasthan Royals,by wickets,field,India,Rajasthan Royals,Rajasthan Royals ,Chennai,"MA Chidambaram Stadium, Chepauk",5/6/08,7,1
Sunrisers Hyderabad,Kings XI Punjab,by wickets,field,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai,Dr DY Patil Sports Academy,5/7/08,7,1
Royal Challengers Bangalore,Kolkatta Knight Riders,by wickets,field,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Delhi,Feroz Shah Kotla,5/8/08,4,1
Chennai Super Kings,Mumbai Indians,by runs,bat,India,Chennai Super Kings,Chennai Super Kings,Kolkata,Eden Gardens,5/8/08,5,1
Kings XI Punjab,Rajasthan Royals,by wickets,field,India,Kings XI Punjab,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,5/9/08,8,1
Mumbai Indians,Sunrisers Hyderabad,by wickets,field,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Bangalore,M Chinnaswamy Stadium,5/28/08,9,1
Kolkatta Knight Riders,Delhi Daredevils,by runs,field,India,Delhi Daredevils,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",5/10/08,18,1
Rajasthan Royals,Chennai Super Kings,by runs,bat,India,Chennai Super Kings,Chennai Super Kings,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5/11/08,23,1
Kings XI Punjab,Royal Challengers Bangalore,by wickets,field,India,Kings XI Punjab,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,5/11/08,3,1
Delhi Daredevils,Mumbai Indians,by wickets,bat,India,Mumbai Indians,Delhi Daredevils,Chandigarh,"Punjab Cricket Association Stadium, Mohali",5/12/08,9,1
Chennai Super Kings,Royal Challengers Bangalore,by runs,bat,India,Chennai Super Kings,Chennai Super Kings,Kolkata,Eden Gardens,5/13/08,23,1
Sunrisers Hyderabad,Kolkatta Knight Riders,by wickets,field,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,5/14/08,9,1
Delhi Daredevils,Kings XI Punjab,by runs,field,India,Kings XI Punjab,Delhi Daredevils,Chandigarh,"Punjab Cricket Association Stadium, Mohali",5/28/08,41,1
Royal Challengers Bangalore,Rajasthan Royals,by runs,field,India,Rajasthan Royals,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,5/15/08,12,1
Sunrisers Hyderabad,Chennai Super Kings,by wickets,field,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,5/16/08,8,1
Royal Challengers Bangalore,Delhi Daredevils,by runs,bat,India,Royal Challengers Bangalore,Delhi Daredevils,Delhi,Feroz Shah Kotla,5/17/08,6,1
Kings XI Punjab,Mumbai Indians,by runs,field,India,Mumbai Indians,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,5/17/08,65,1
Rajasthan Royals,Sunrisers Hyderabad,by runs,field,India,Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5/18/08,25,1
Chennai Super Kings,Kolkatta Knight Riders,by runs,bat,India,Chennai Super Kings,Kolkatta Knight Riders,Kolkata,Eden Gardens,5/18/08,3,1
Mumbai Indians,Royal Challengers Bangalore,by wickets,field,India,Royal Challengers Bangalore,Royal Challengers Bangalore,Bangalore,M Chinnaswamy Stadium,5/19/08,5,1
Chennai Super Kings,Kings XI Punjab,by wickets,field,India,Kings XI Punjab,Kings XI Punjab,Kolkata,Eden Gardens,5/20/08,6,1
Sunrisers Hyderabad,Delhi Daredevils,by runs,field,India,Sunrisers Hyderabad,Delhi Daredevils,Mumbai,Wankhede Stadium,5/21/08,1,1
Kolkatta Knight Riders,Mumbai Indians,by runs,bat,India,Mumbai Indians,Mumbai Indians,Chennai,"MA Chidambaram Stadium, Chepauk",5/21/08,14,1
Delhi Daredevils,Rajasthan Royals,by wickets,field,India,Delhi Daredevils,Delhi Daredevils,Chandigarh,"Punjab Cricket Association Stadium, Mohali",5/23/08,6,1
Royal Challengers Bangalore,Sunrisers Hyderabad,by wickets,field,India,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,5/24/08,5,1
Kolkatta Knight Riders,Kings XI Punjab,by runs,bat,India,Kings XI Punjab,Kings XI Punjab,Chennai,"MA Chidambaram Stadium, Chepauk",5/24/08,10,1
Mumbai Indians,Rajasthan Royals,by runs,field,India,Rajasthan Royals,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,5/3/08,3,1
Chennai Super Kings,Delhi Daredevils,by wickets,bat,India,Delhi Daredevils,Chennai Super Kings,Kolkata,Eden Gardens,5/25/08,3,1
Kings XI Punjab,Sunrisers Hyderabad,by wickets,field,India,Kings XI Punjab,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,5/26/08,5,1
Rajasthan Royals,Kolkatta Knight Riders,by wickets,bat,India,Rajasthan Royals,Kolkatta Knight Riders,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5/27/08,7,1
Royal Challengers Bangalore,Kings XI Punjab,by runs,field,India,Royal Challengers Bangalore,Kings XI Punjab,Mumbai,Wankhede Stadium,5/30/08,105,1
Kolkatta Knight Riders,Delhi Daredevils,by wickets,bat,India,Delhi Daredevils,Kolkatta Knight Riders,Mumbai,Wankhede Stadium,5/31/08,9,1
Kolkatta Knight Riders,Kings XI Punjab,by wickets,field,India,Kings XI Punjab,Kings XI Punjab,Mumbai,Dr DY Patil Sports Academy,6/1/08,3,1
Kolkatta Knight Riders,Sunrisers Hyderabad,by runs,field,South Africa,Kolkatta Knight Riders,Sunrisers Hyderabad,Cape Town,Newlands,4/18/09,19,2
Mumbai Indians,Kings XI Punjab,by runs,bat,South Africa,Mumbai Indians,Mumbai Indians,Cape Town,Newlands,4/18/09,75,2
Royal Challengers Bangalore,Delhi Daredevils,by wickets,field,South Africa,Royal Challengers Bangalore,Royal Challengers Bangalore,Cape Town,Newlands,4/19/09,10,2
Rajasthan Royals,Chennai Super Kings,by wickets,bat,South Africa,Chennai Super Kings,Rajasthan Royals ,Cape Town,Newlands,4/19/09,8,2
Mumbai Indians,Kolkatta Knight Riders,by runs,bat,South Africa,Kolkatta Knight Riders,Kolkatta Knight Riders,Port Elizabeth,St George's Park,4/20/09,92,2
Delhi Daredevils,Chennai Super Kings,by runs,field,South Africa,Chennai Super Kings,Chennai Super Kings,Durban,Kingsmead,4/21/09,11,2
Mumbai Indians,Rajasthan Royals,by runs,bat,South Africa,Rajasthan Royals,Rajasthan Royals ,Cape Town,Newlands,4/22/09,24,2
Kolkatta Knight Riders,Royal Challengers Bangalore,by runs,bat,South Africa,Royal Challengers Bangalore,Royal Challengers Bangalore,Durban,Kingsmead,4/23/09,9,2
Mumbai Indians,Delhi Daredevils,by wickets,bat,South Africa,Mumbai Indians,Delhi Daredevils,Durban,Kingsmead,4/24/09,7,2
Rajasthan Royals,Sunrisers Hyderabad,by runs,bat,South Africa,Rajasthan Royals,Rajasthan Royals ,Durban,Kingsmead,4/25/09,12,2
Mumbai Indians,Royal Challengers Bangalore,by wickets,bat,South Africa,Mumbai Indians,Royal Challengers Bangalore,Port Elizabeth,St George's Park,4/26/09,6,2
Delhi Daredevils,Kings XI Punjab,by runs,bat,South Africa,Delhi Daredevils,Delhi Daredevils,Cape Town,Newlands,4/26/09,27,2
Kolkatta Knight Riders,Rajasthan Royals,by wickets,field,South Africa,Rajasthan Royals,Rajasthan Royals ,Durban,Kingsmead,4/27/09,6,2
Chennai Super Kings,Sunrisers Hyderabad,by runs,bat,South Africa,Sunrisers Hyderabad,Sunrisers Hyderabad,Port Elizabeth,St George's Park,4/27/09,92,2
Royal Challengers Bangalore,Kings XI Punjab,by wickets,bat,South Africa,Royal Challengers Bangalore,Kings XI Punjab,Centurion,SuperSport Park,4/28/09,5,2
Mumbai Indians,Chennai Super Kings,by wickets,bat,South Africa,Chennai Super Kings,Mumbai Indians,Durban,Kingsmead,4/29/09,5,2
Delhi Daredevils,Sunrisers Hyderabad,by runs,bat,South Africa,Delhi Daredevils,Delhi Daredevils,Durban,Kingsmead,4/29/09,3,2
Rajasthan Royals,Royal Challengers Bangalore,by wickets,field,South Africa,Royal Challengers Bangalore,Royal Challengers Bangalore,Centurion,SuperSport Park,4/30/09,6,2
Kolkatta Knight Riders,Kings XI Punjab,by runs,field,South Africa,Kings XI Punjab,Kolkatta Knight Riders,Centurion,SuperSport Park,4/30/09,38,2
Chennai Super Kings,Sunrisers Hyderabad,by runs,bat,South Africa,Sunrisers Hyderabad,Sunrisers Hyderabad,East London,Buffalo Park,5/1/09,9,2
Mumbai Indians,Delhi Daredevils,by runs,bat,South Africa,Mumbai Indians,Mumbai Indians,Durban,Kingsmead,5/1/09,8,2
Rajasthan Royals,Kings XI Punjab,by wickets,bat,South Africa,Rajasthan Royals,Kings XI Punjab,Port Elizabeth,St George's Park,5/2/09,3,2
Kolkatta Knight Riders,Royal Challengers Bangalore,by runs,field,South Africa,Royal Challengers Bangalore,Kolkatta Knight Riders,Johannesburg,New Wanderers Stadium,5/2/09,18,2
Delhi Daredevils,Chennai Super Kings,by wickets,bat,South Africa,Chennai Super Kings,Delhi Daredevils,Port Elizabeth,St George's Park,5/3/09,6,2
Mumbai Indians,Sunrisers Hyderabad,by wickets,bat,South Africa,Sunrisers Hyderabad,Mumbai Indians,Johannesburg,New Wanderers Stadium,5/3/09,9,2
Kolkatta Knight Riders,Rajasthan Royals,by runs,bat,South Africa,Kolkatta Knight Riders,Kolkatta Knight Riders,East London,Buffalo Park,5/4/09,78,2
Delhi Daredevils,Kings XI Punjab,by runs,field,South Africa,Delhi Daredevils,Kings XI Punjab,Durban,Kingsmead,5/5/09,78,2
Royal Challengers Bangalore,Chennai Super Kings,by wickets,bat,South Africa,Chennai Super Kings,Royal Challengers Bangalore,Durban,Kingsmead,5/5/09,9,2
Rajasthan Royals,Sunrisers Hyderabad,by runs,bat,South Africa,Rajasthan Royals,Rajasthan Royals ,Centurion,SuperSport Park,5/6/09,19,2
Mumbai Indians,Kings XI Punjab,by wickets,field,South Africa,Kings XI Punjab,Kings XI Punjab,Centurion,SuperSport Park,5/7/09,7,2
Kolkatta Knight Riders,Delhi Daredevils,by runs,bat,South Africa,Kolkatta Knight Riders,Kolkatta Knight Riders,Centurion,SuperSport Park,5/7/09,12,2
Royal Challengers Bangalore,Sunrisers Hyderabad,by wickets,bat,South Africa,Sunrisers Hyderabad,Royal Challengers Bangalore,East London,Buffalo Park,5/8/09,7,2
Rajasthan Royals,Delhi Daredevils,by wickets,field,South Africa,Delhi Daredevils,Delhi Daredevils,Kimberley,De Beers Diamond Oval,5/9/09,3,2
Kolkatta Knight Riders,Kings XI Punjab,by wickets,bat,South Africa,Kings XI Punjab,Kolkatta Knight Riders,Kimberley,De Beers Diamond Oval,5/9/09,7,2
Mumbai Indians,Sunrisers Hyderabad,by runs,bat,South Africa,Sunrisers Hyderabad,Sunrisers Hyderabad,Port Elizabeth,St George's Park,5/10/09,16,2
Royal Challengers Bangalore,Chennai Super Kings,by wickets,field,South Africa,Royal Challengers Bangalore,Royal Challengers Bangalore,Johannesburg,New Wanderers Stadium,5/10/09,7,2
Rajasthan Royals,Kings XI Punjab,by runs,bat,South Africa,Rajasthan Royals,Rajasthan Royals ,Kimberley,De Beers Diamond Oval,5/11/09,53,2
Mumbai Indians,Chennai Super Kings,by wickets,field,South Africa,Mumbai Indians,Mumbai Indians,Centurion,SuperSport Park,5/12/09,6,2
Delhi Daredevils,Sunrisers Hyderabad,by wickets,bat,South Africa,Delhi Daredevils,Sunrisers Hyderabad,Centurion,SuperSport Park,5/12/09,8,2
Rajasthan Royals,Royal Challengers Bangalore,by runs,field,South Africa,Rajasthan Royals,Royal Challengers Bangalore,Durban,Kingsmead,5/13/09,12,2
Mumbai Indians,Kolkatta Knight Riders,by wickets,bat,South Africa,Kolkatta Knight Riders,Mumbai Indians,Durban,Kingsmead,5/14/09,2,2
Sunrisers Hyderabad,Kings XI Punjab,by runs,bat,South Africa,Kings XI Punjab,Kings XI Punjab,Durban,Kingsmead,5/14/09,2,2
Royal Challengers Bangalore,Delhi Daredevils,by wickets,field,South Africa,Delhi Daredevils,Delhi Daredevils,Bloemfontein,OUTsurance Oval,5/15/09,6,2
Kolkatta Knight Riders,Sunrisers Hyderabad,by wickets,bat,South Africa,Sunrisers Hyderabad,Kolkatta Knight Riders,Port Elizabeth,St George's Park,5/16/09,7,2
Rajasthan Royals,Chennai Super Kings,by wickets,field,South Africa,Rajasthan Royals,Rajasthan Royals ,Johannesburg,New Wanderers Stadium,5/16/09,6,2
Rajasthan Royals,Delhi Daredevils,by runs,field,South Africa,Rajasthan Royals,Delhi Daredevils,Johannesburg,New Wanderers Stadium,5/17/09,1,2
Royal Challengers Bangalore,Kings XI Punjab,by runs,bat,South Africa,Royal Challengers Bangalore,Royal Challengers Bangalore,Bloemfontein,OUTsurance Oval,5/17/09,14,2
Kolkatta Knight Riders,Chennai Super Kings,by wickets,bat,South Africa,Kolkatta Knight Riders,Chennai Super Kings,Centurion,SuperSport Park,5/18/09,7,2
Mumbai Indians,Royal Challengers Bangalore,by wickets,bat,South Africa,Royal Challengers Bangalore,Mumbai Indians,Johannesburg,New Wanderers Stadium,5/19/09,7,2
Chennai Super Kings,Kings XI Punjab,by wickets,field,South Africa,Chennai Super Kings,Chennai Super Kings,Durban,Kingsmead,5/20/09,4,2
Kolkatta Knight Riders,Delhi Daredevils,by runs,bat,South Africa,Kolkatta Knight Riders,Kolkatta Knight Riders,Durban,Kingsmead,5/20/09,24,2
Royal Challengers Bangalore,Sunrisers Hyderabad,by wickets,field,South Africa,Royal Challengers Bangalore,Royal Challengers Bangalore,Centurion,SuperSport Park,5/21/09,4,2
Mumbai Indians,Rajasthan Royals,by runs,bat,South Africa,Mumbai Indians,Mumbai Indians,Centurion,SuperSport Park,5/21/09,12,2
Royal Challengers Bangalore,Rajasthan Royals,by wickets,field,South Africa,Rajasthan Royals,Rajasthan Royals ,Centurion,SuperSport Park,5/22/09,6,2
Mumbai Indians,Kolkatta Knight Riders,by wickets,field,South Africa,Mumbai Indians,Mumbai Indians,Johannesburg,New Wanderers Stadium,5/23/09,6,2
Mumbai Indians,Rajasthan Royals,by runs,field,South Africa,Mumbai Indians,Rajasthan Royals ,Johannesburg,New Wanderers Stadium,5/24/09,6,2
Rajasthan Royals,Chennai Super Kings,by runs,field,India,Rajasthan Royals,Chennai Super Kings,Mumbai,Dr DY Patil Sports Academy,3/12/10,11,3
Sunrisers Hyderabad,Kings XI Punjab,by runs,bat,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai,Brabourne Stadium,3/13/10,4,3
Delhi Daredevils,Royal Challengers Bangalore,by wickets,field,India,Royal Challengers Bangalore,Royal Challengers Bangalore,Chandigarh,"Punjab Cricket Association Stadium, Mohali",3/13/10,5,3
Chennai Super Kings,Mumbai Indians,by wickets,field,India,Chennai Super Kings,Chennai Super Kings,Kolkata,Eden Gardens,3/14/10,7,3
Kolkatta Knight Riders,Rajasthan Royals,by runs,bat,India,Rajasthan Royals,Rajasthan Royals ,Chennai,"MA Chidambaram Stadium, Chepauk",3/14/10,31,3
Kings XI Punjab,Royal Challengers Bangalore,by wickets,field,India,Royal Challengers Bangalore,Royal Challengers Bangalore,Ahmedabad,"Sardar Patel Stadium, Motera",3/15/10,6,3
Mumbai Indians,Delhi Daredevils,by wickets,bat,India,Delhi Daredevils,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,3/16/10,8,3
Chennai Super Kings,Kolkatta Knight Riders,by runs,bat,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Kolkata,Eden Gardens,3/16/10,55,3
Royal Challengers Bangalore,Sunrisers Hyderabad,by runs,field,India,Royal Challengers Bangalore,Sunrisers Hyderabad,Delhi,Feroz Shah Kotla,3/17/10,98,3
Mumbai Indians,Kings XI Punjab,by wickets,field,India,Mumbai Indians,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,3/18/10,10,3
Royal Challengers Bangalore,Kolkatta Knight Riders,by wickets,bat,India,Royal Challengers Bangalore,Kolkatta Knight Riders,Delhi,Feroz Shah Kotla,3/19/10,5,3
Rajasthan Royals,Delhi Daredevils,by runs,field,India,Delhi Daredevils,Rajasthan Royals ,Cuttack,Barabati Stadium,3/19/10,6,3
Kings XI Punjab,Chennai Super Kings,by runs,bat,India,Kings XI Punjab,Kings XI Punjab,Ahmedabad,"Sardar Patel Stadium, Motera",3/20/10,34,3
Sunrisers Hyderabad,Mumbai Indians,by wickets,bat,India,Sunrisers Hyderabad,Mumbai Indians,Mumbai,Brabourne Stadium,3/20/10,7,3
Rajasthan Royals,Royal Challengers Bangalore,by runs,bat,India,Rajasthan Royals,Rajasthan Royals ,Cuttack,Barabati Stadium,3/21/10,10,3
Sunrisers Hyderabad,Chennai Super Kings,by wickets,bat,India,Chennai Super Kings,Sunrisers Hyderabad,Mumbai,Brabourne Stadium,3/22/10,7,3
Mumbai Indians,Kolkatta Knight Riders,by runs,field,India,Kolkatta Knight Riders,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,3/23/10,36,3
Delhi Daredevils,Kings XI Punjab,by runs,field,India,Delhi Daredevils,Kings XI Punjab,Chandigarh,"Punjab Cricket Association Stadium, Mohali",3/24/10,31,3
Sunrisers Hyderabad,Kolkatta Knight Riders,by wickets,field,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai,Brabourne Stadium,3/25/10,5,3
Kings XI Punjab,Rajasthan Royals,by wickets,bat,India,Rajasthan Royals,Kings XI Punjab,Ahmedabad,"Sardar Patel Stadium, Motera",3/26/10,8,3
Delhi Daredevils,Chennai Super Kings,by runs,bat,India,Chennai Super Kings,Chennai Super Kings,Chandigarh,"Punjab Cricket Association Stadium, Mohali",3/27/10,39,3
Mumbai Indians,Royal Challengers Bangalore,by runs,field,India,Mumbai Indians,Royal Challengers Bangalore,Bangalore,M Chinnaswamy Stadium,3/25/10,17,3
Kings XI Punjab,Kolkatta Knight Riders,by runs,bat,India,Kings XI Punjab,Kings XI Punjab,Ahmedabad,"Sardar Patel Stadium, Motera",3/28/10,17,3
Rajasthan Royals,Sunrisers Hyderabad,by runs,field,India,Rajasthan Royals,Sunrisers Hyderabad,Mumbai,Dr DY Patil Sports Academy,3/28/10,41,3
Royal Challengers Bangalore,Chennai Super Kings,by runs,bat,India,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,3/29/10,40,3
Sunrisers Hyderabad,Delhi Daredevils,by wickets,field,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai,Brabourne Stadium,3/30/10,4,3
Kolkatta Knight Riders,Mumbai Indians,by wickets,bat,India,Mumbai Indians,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",3/31/10,5,3
Royal Challengers Bangalore,Kings XI Punjab,by runs,bat,India,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,3/31/10,67,3
