Team_Name, Opponent_Name,Win_Type,Toss_Decision,Host_Country,Toss_Winner_Name,Match_Winner_Name,City_Name,Venue_Name,Match_Date,Won_By,Season_Id
Mumbai Indians,Delhi Daredevils,by wickets,field,India,Delhi Daredevils,Delhi Daredevils,Bangalore,M Chinnaswamy Stadium,5/2/12,4,5
Gujarat Lions,Sunrisers Hyderabad,by runs,bat,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Pune,Subrata Roy Sahara Stadium,5/3/12,1,5
Kolkatta Knight Riders,Rajasthan Royals,by runs,bat,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",5/4/12,10,5
Chennai Super Kings,Gujarat Lion,by runs,bat,India,Chennai Super Kings,Chennai Super Kings,Kolkata,Eden Gardens,5/5/12,7,5
Delhi Daredevils,Kings XI Punjab,by runs,bat,India,Kings XI Punjab,Kings XI Punjab,Chandigarh,"Punjab Cricket Association Stadium, Mohali",5/5/12,43,5
Sunrisers Hyderabad,Kolkatta Knight Riders,by wickets,field,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,5/6/12,2,5
Mumbai Indians,Rajasthan Royals,by wickets,field,India,Mumbai Indians,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,5/6/12,5,5
Royal Challengers Bangalore,Chennai Super Kings,by wickets,bat,India,Royal Challengers Bangalore,Chennai Super Kings,Delhi,Feroz Shah Kotla,5/7/12,6,5
Gujarat Lions,Kings XI Punjab,by wickets,bat,India,Gujarat Lion,Kings XI Punjab,Pune,Subrata Roy Sahara Stadium,5/8/12,7,5
Rajasthan Royals,Delhi Daredevils,by runs,field,India,Rajasthan Royals,Delhi Daredevils,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5/8/12,25,5
Sunrisers Hyderabad,Mumbai Indians,by wickets,field,India,Mumbai Indians,Mumbai Indians,Mumbai,Wankhede Stadium,5/9/12,9,5
Kings XI Punjab,Kolkatta Knight Riders,by wickets,field,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Jaipur,Sawai Mansingh Stadium,5/10/12,4,5
Gujarat Lions,Mumbai Indians,by runs,field,India,Gujarat Lion,Mumbai Indians,Pune,Subrata Roy Sahara Stadium,5/11/12,35,5
Chennai Super Kings,Sunrisers Hyderabad,by runs,bat,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata,Eden Gardens,5/12/12,27,5
Kolkatta Knight Riders,Royal Challengers Bangalore,by wickets,field,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",5/12/12,9,5
Kings XI Punjab,Gujarat Lion,by runs,bat,India,Kings XI Punjab,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,5/13/12,45,5
Delhi Daredevils,Rajasthan Royals,by wickets,bat,India,Rajasthan Royals,Delhi Daredevils,Chandigarh,"Punjab Cricket Association Stadium, Mohali",5/13/12,4,5
Mumbai Indians,Sunrisers Hyderabad,by wickets,field,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Bangalore,M Chinnaswamy Stadium,5/14/12,5,5
Chennai Super Kings,Kolkatta Knight Riders,by wickets,field,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Kolkata,Eden Gardens,5/14/12,5,5
Royal Challengers Bangalore,Delhi Daredevils,by wickets,bat,India,Delhi Daredevils,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,5/15/12,5,5
Sunrisers Hyderabad,Chennai Super Kings,by runs,field,India,Sunrisers Hyderabad,Chennai Super Kings,Mumbai,Wankhede Stadium,5/16/12,32,5
Delhi Daredevils,Kolkatta Knight Riders,by wickets,field,India,Delhi Daredevils,Delhi Daredevils,Dharamsala,Himachal Pradesh Cricket Association Stadium,5/17/12,6,5
Royal Challengers Bangalore,Mumbai Indians,by runs,field,India,Royal Challengers Bangalore,Mumbai Indians,Delhi,Feroz Shah Kotla,5/17/12,21,5
Rajasthan Royals,Kings XI Punjab,by wickets,bat,India,Kings XI Punjab,Rajasthan Royals ,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5/18/12,5,5
Delhi Daredevils,Royal Challengers Bangalore,by wickets,field,India,Royal Challengers Bangalore,Royal Challengers Bangalore,Dharamsala,Himachal Pradesh Cricket Association Stadium,5/19/12,6,5
Gujarat Lions,Chennai Super Kings,by runs,bat,India,Chennai Super Kings,Chennai Super Kings,Pune,Subrata Roy Sahara Stadium,5/19/12,34,5
Rajasthan Royals,Mumbai Indians,by runs,field,India,Mumbai Indians,Rajasthan Royals ,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5/20/12,9,5
Kings XI Punjab,Sunrisers Hyderabad,by wickets,bat,India,Kings XI Punjab,Sunrisers Hyderabad,Jaipur,Sawai Mansingh Stadium,5/20/12,10,5
Royal Challengers Bangalore,Chennai Super Kings,by runs,bat,India,Chennai Super Kings,Chennai Super Kings,Pune,Subrata Roy Sahara Stadium,5/22/12,18,5
Kolkatta Knight Riders,Sunrisers Hyderabad,by runs,field,India,Sunrisers Hyderabad,Kolkatta Knight Riders,Bangalore,M Chinnaswamy Stadium,5/23/12,38,5
Royal Challengers Bangalore,Kolkatta Knight Riders,by runs,field,India,Royal Challengers Bangalore,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",5/25/12,86,5
Chennai Super Kings,Kolkatta Knight Riders,by wickets,bat,India,Kolkatta Knight Riders,Chennai Super Kings,Chennai,"MA Chidambaram Stadium, Chepauk",5/27/12,5,5
Chennai Super Kings,Royal Challengers Bangalore,by wickets,field,India,Chennai Super Kings,Chennai Super Kings,Kolkata,Eden Gardens,4/3/13,6,6
Mumbai Indians,Sunrisers Hyderabad,by runs,field,India,Sunrisers Hyderabad,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,4/4/13,2,6
Rising Pune Super Giants,Gujarat Lion,by runs,field,India,Gujarat Lion,Rising Pune Super Giants,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",4/5/13,22,6
Royal Challengers Bangalore,Kings XI Punjab,by runs,bat,India,Kings XI Punjab,Kings XI Punjab,Delhi,Feroz Shah Kotla,4/6/13,5,6
Kolkatta Knight Riders,Sunrisers Hyderabad,by runs,bat,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Chennai,"MA Chidambaram Stadium, Chepauk",4/6/13,9,6
Gujarat Lions,Delhi Daredevils,by wickets,bat,India,Gujarat Lion,Delhi Daredevils,Pune,Subrata Roy Sahara Stadium,4/7/13,8,6
Kings XI Punjab,Chennai Super Kings,by runs,field,India,Chennai Super Kings,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,4/8/13,19,6
Sunrisers Hyderabad,Royal Challengers Bangalore,by runs,bat,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,4/9/13,44,6
Delhi Daredevils,Kolkatta Knight Riders,by wickets,field,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Chandigarh,"Punjab Cricket Association Stadium, Mohali",4/10/13,10,6
Mumbai Indians,Chennai Super Kings,by wickets,field,India,Mumbai Indians,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,4/11/13,8,6
Gujarat Lions,Kings XI Punjab,by wickets,bat,India,Kings XI Punjab,Gujarat Lion,Pune,Subrata Roy Sahara Stadium,4/11/13,7,6
Royal Challengers Bangalore,Rising Pune Super Giants,by wickets,bat,India,Royal Challengers Bangalore,Rising Pune Super Giants,Delhi,Feroz Shah Kotla,4/12/13,3,6
Sunrisers Hyderabad,Gujarat Lion,by runs,bat,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,4/13/13,41,6
Kolkatta Knight Riders,Mumbai Indians,by wickets,field,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",4/13/13,4,6
Chennai Super Kings,Rising Pune Super Giants,by runs,bat,India,Chennai Super Kings,Chennai Super Kings,Kolkata,Eden Gardens,4/14/13,48,6
Kings XI Punjab,Delhi Daredevils,by wickets,field,India,Kings XI Punjab,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,4/14/13,6,6
Kolkatta Knight Riders,Gujarat Lion,by runs,bat,India,Gujarat Lion,Gujarat Lion,Chennai,"MA Chidambaram Stadium, Chepauk",4/15/13,24,6
Delhi Daredevils,Chennai Super Kings,by runs,field,India,Chennai Super Kings,Delhi Daredevils,Chandigarh,"Punjab Cricket Association Stadium, Mohali",4/16/13,4,6
Gujarat Lions,Rising Pune Super Giants,by runs,field,India,Gujarat Lion,Rising Pune Super Giants,Pune,Subrata Roy Sahara Stadium,4/17/13,11,6
Kings XI Punjab,Sunrisers Hyderabad,by runs,bat,India,Kings XI Punjab,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,4/17/13,87,6
Royal Challengers Bangalore,Kolkatta Knight Riders,by runs,bat,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Delhi,Feroz Shah Kotla,4/18/13,86,6
Rising Pune Super Giants,Delhi Daredevils,by wickets,bat,India,Delhi Daredevils,Rising Pune Super Giants,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",4/19/13,5,6
Chennai Super Kings,Kolkatta Knight Riders,by wickets,bat,India,Chennai Super Kings,Kolkatta Knight Riders,Kolkata,Eden Gardens,4/20/13,4,6
Mumbai Indians,Kings XI Punjab,by wickets,field,India,Mumbai Indians,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,4/20/13,7,6
Royal Challengers Bangalore,Sunrisers Hyderabad,by wickets,bat,India,Sunrisers Hyderabad,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,4/21/13,9,6
Delhi Daredevils,Gujarat Lion,by wickets,field,India,Delhi Daredevils,Delhi Daredevils,Chandigarh,"Punjab Cricket Association Stadium, Mohali",4/21/13,7,6
Kolkatta Knight Riders,Kings XI Punjab,by wickets,bat,India,Kings XI Punjab,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",4/22/13,5,6
Mumbai Indians,Gujarat Lion,by runs,field,India,Gujarat Lion,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,4/23/13,130,6
Delhi Daredevils,Royal Challengers Bangalore,by runs,field,India,Royal Challengers Bangalore,Delhi Daredevils,Dharamsala,Himachal Pradesh Cricket Association Stadium,5/16/13,7,6
Chennai Super Kings,Sunrisers Hyderabad,by wickets,bat,India,Chennai Super Kings,Sunrisers Hyderabad,Kolkata,Eden Gardens,4/24/13,5,6
Kolkatta Knight Riders,Rising Pune Super Giants,by wickets,bat,India,Rising Pune Super Giants,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",4/25/13,5,6
Chennai Super Kings,Delhi Daredevils,by wickets,bat,India,Delhi Daredevils,Chennai Super Kings,Kolkata,Eden Gardens,4/26/13,6,6
Kings XI Punjab,Rising Pune Super Giants,by wickets,bat,India,Rising Pune Super Giants,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,4/27/13,8,6
Sunrisers Hyderabad,Mumbai Indians,by runs,bat,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,4/27/13,58,6
Kolkatta Knight Riders,Chennai Super Kings,by runs,field,India,Chennai Super Kings,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",4/28/13,14,6
Royal Challengers Bangalore,Gujarat Lion,by runs,field,India,Gujarat Lion,Royal Challengers Bangalore,Raipur,Shaheed Veer Narayan Singh International Stadium,4/28/13,15,6
Kings XI Punjab,Mumbai Indians,by wickets,field,India,Kings XI Punjab,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,4/29/13,4,6
Sunrisers Hyderabad,Delhi Daredevils,by runs,bat,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,4/29/13,4,6
Gujarat Lions,Kolkatta Knight Riders,by runs,bat,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Pune,Subrata Roy Sahara Stadium,4/30/13,37,6
Rising Pune Super Giants,Sunrisers Hyderabad,by wickets,bat,India,Sunrisers Hyderabad,Rising Pune Super Giants,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5/1/13,7,6
Royal Challengers Bangalore,Chennai Super Kings,by wickets,bat,India,Chennai Super Kings,Royal Challengers Bangalore,Raipur,Shaheed Veer Narayan Singh International Stadium,5/1/13,7,6
Kolkatta Knight Riders,Delhi Daredevils,by runs,bat,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",5/2/13,15,6
Gujarat Lions,Mumbai Indians,by runs,bat,India,Mumbai Indians,Mumbai Indians,Pune,Subrata Roy Sahara Stadium,5/2/13,17,6
Chennai Super Kings,Kings XI Punjab,by wickets,bat,India,Kings XI Punjab,Chennai Super Kings,Kolkata,Eden Gardens,5/3/13,8,6
Rising Pune Super Giants,Royal Challengers Bangalore,by wickets,bat,India,Royal Challengers Bangalore,Rising Pune Super Giants,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5/4/13,6,6
Mumbai Indians,Delhi Daredevils,by wickets,field,India,Delhi Daredevils,Delhi Daredevils,Bangalore,M Chinnaswamy Stadium,5/14/13,7,6
Sunrisers Hyderabad,Kolkatta Knight Riders,by runs,bat,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,5/5/13,60,6
Kings XI Punjab,Gujarat Lion,by wickets,bat,India,Gujarat Lion,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,5/5/13,5,6
Mumbai Indians,Rising Pune Super Giants,by wickets,bat,India,Rising Pune Super Giants,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,4/9/13,7,6
Kings XI Punjab,Royal Challengers Bangalore,by wickets,bat,India,Royal Challengers Bangalore,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,5/7/13,9,6
Sunrisers Hyderabad,Chennai Super Kings,by runs,bat,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,5/7/13,65,6
Rising Pune Super Giants,Kolkatta Knight Riders,by runs,field,India,Rising Pune Super Giants,Kolkatta Knight Riders,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5/8/13,77,6
Delhi Daredevils,Kings XI Punjab,by wickets,field,India,Kings XI Punjab,Kings XI Punjab,Chandigarh,"Punjab Cricket Association Stadium, Mohali",5/9/13,8,6
Gujarat Lions,Chennai Super Kings,by runs,bat,India,Chennai Super Kings,Chennai Super Kings,Pune,Subrata Roy Sahara Stadium,5/9/13,46,6
Royal Challengers Bangalore,Mumbai Indians,by runs,field,India,Royal Challengers Bangalore,Mumbai Indians,Delhi,Feroz Shah Kotla,5/10/13,4,6
Gujarat Lions,Sunrisers Hyderabad,by wickets,bat,India,Gujarat Lion,Sunrisers Hyderabad,Pune,Subrata Roy Sahara Stadium,5/11/13,5,6
Delhi Daredevils,Rising Pune Super Giants,by runs,field,India,Delhi Daredevils,Rising Pune Super Giants,Chandigarh,"Punjab Cricket Association Stadium, Mohali",5/11/13,30,6
Chennai Super Kings,Mumbai Indians,by wickets,field,India,Chennai Super Kings,Chennai Super Kings,Ranchi,JSCA International Stadium Complex,5/12/13,5,6
Kings XI Punjab,Kolkatta Knight Riders,by wickets,field,India,Kings XI Punjab,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,5/12/13,5,6
Royal Challengers Bangalore,Delhi Daredevils,by wickets,field,India,Delhi Daredevils,Delhi Daredevils,Delhi,Feroz Shah Kotla,4/23/13,5,6
Sunrisers Hyderabad,Rising Pune Super Giants,by wickets,bat,India,Rising Pune Super Giants,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,5/13/13,7,6
Chennai Super Kings,Gujarat Lion,by runs,field,India,Chennai Super Kings,Gujarat Lion,Ranchi,JSCA International Stadium Complex,5/15/13,7,6
Kolkatta Knight Riders,Royal Challengers Bangalore,by runs,bat,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",5/14/13,33,6
Sunrisers Hyderabad,Kings XI Punjab,by runs,field,India,Kings XI Punjab,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,5/15/13,14,6
Delhi Daredevils,Mumbai Indians,by wickets,field,India,Delhi Daredevils,Delhi Daredevils,Chandigarh,"Punjab Cricket Association Stadium, Mohali",5/6/13,6,6
Rising Pune Super Giants,Kings XI Punjab,by runs,bat,India,Rising Pune Super Giants,Rising Pune Super Giants,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5/17/13,23,6
Delhi Daredevils,Sunrisers Hyderabad,by runs,field,India,Sunrisers Hyderabad,Delhi Daredevils,Dharamsala,Himachal Pradesh Cricket Association Stadium,5/18/13,50,6
Gujarat Lions,Royal Challengers Bangalore,by runs,bat,India,Gujarat Lion,Gujarat Lion,Pune,Subrata Roy Sahara Stadium,5/19/13,38,6
Mumbai Indians,Kolkatta Knight Riders,by runs,field,India,Kolkatta Knight Riders,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,5/18/13,24,6
Rising Pune Super Giants,Chennai Super Kings,by wickets,bat,India,Chennai Super Kings,Rising Pune Super Giants,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5/19/13,5,6
Kolkatta Knight Riders,Sunrisers Hyderabad,by runs,bat,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Delhi,Feroz Shah Kotla,5/21/13,48,6
Kings XI Punjab,Rising Pune Super Giants,by wickets,bat,India,Rising Pune Super Giants,Kings XI Punjab,Delhi,Feroz Shah Kotla,5/22/13,4,6
Sunrisers Hyderabad,Kings XI Punjab,by wickets,bat,India,Kings XI Punjab,Sunrisers Hyderabad,Kolkata,Eden Gardens,5/24/13,4,6
Kolkatta Knight Riders,Sunrisers Hyderabad,by runs,bat,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata,Eden Gardens,5/26/13,23,6
Sunrisers Hyderabad,Chennai Super Kings,by runs,bat,U.A.E,Chennai Super Kings,Chennai Super Kings,Abu Dhabi,Sheikh Zayed Stadium,4/16/14,41,7
Royal Challengers Bangalore,Mumbai Indians,by wickets,field,U.A.E,Mumbai Indians,Mumbai Indians,Abu Dhabi,Sharjah Cricket Stadium,4/17/14,8,7
Kolkatta Knight Riders,Delhi Daredevils,by wickets,bat,U.A.E,Kolkatta Knight Riders,Delhi Daredevils,Abu Dhabi,Sheikh Zayed Stadium,4/18/14,6,7
Rising Pune Super Giants,Kings XI Punjab,by wickets,field,U.A.E,Kings XI Punjab,Kings XI Punjab,Abu Dhabi,Sheikh Zayed Stadium,4/18/14,4,7
Mumbai Indians,Sunrisers Hyderabad,by wickets,field,U.A.E,Mumbai Indians,Mumbai Indians,Abu Dhabi,Dubai International Cricket Stadium,4/19/14,7,7
Chennai Super Kings,Royal Challengers Bangalore,by wickets,bat,U.A.E,Chennai Super Kings,Royal Challengers Bangalore,Abu Dhabi,Dubai International Cricket Stadium,4/19/14,4,7
Kings XI Punjab,Delhi Daredevils,by wickets,field,U.A.E,Delhi Daredevils,Delhi Daredevils,Abu Dhabi,Sharjah Cricket Stadium,4/20/14,7,7
Kolkatta Knight Riders,Royal Challengers Bangalore,by runs,bat,U.A.E,Kolkatta Knight Riders,Kolkatta Knight Riders,Abu Dhabi,Sheikh Zayed Stadium,4/21/14,93,7
Delhi Daredevils,Rising Pune Super Giants,by runs,field,U.A.E,Rising Pune Super Giants,Delhi Daredevils,Abu Dhabi,Sharjah Cricket Stadium,4/22/14,72,7
Kings XI Punjab,Kolkatta Knight Riders,by runs,field,U.A.E,Kings XI Punjab,Kolkatta Knight Riders,Abu Dhabi,Dubai International Cricket Stadium,4/23/14,7,7
Mumbai Indians,Chennai Super Kings,by runs,field,U.A.E,Mumbai Indians,Chennai Super Kings,Abu Dhabi,Sharjah Cricket Stadium,4/24/14,2,7
Rising Pune Super Giants,Royal Challengers Bangalore,by runs,bat,U.A.E,Rising Pune Super Giants,Rising Pune Super Giants,Abu Dhabi,Dubai International Cricket Stadium,4/25/14,4,7
Kolkatta Knight Riders,Sunrisers Hyderabad,by wickets,bat,U.A.E,Sunrisers Hyderabad,Kolkatta Knight Riders,Abu Dhabi,Dubai International Cricket Stadium,4/25/14,7,7
Kings XI Punjab,Mumbai Indians,by wickets,field,U.A.E,Kings XI Punjab,Kings XI Punjab,Abu Dhabi,Sheikh Zayed Stadium,4/26/14,6,7
Chennai Super Kings,Delhi Daredevils,by runs,field,U.A.E,Chennai Super Kings,Delhi Daredevils,Abu Dhabi,Sheikh Zayed Stadium,4/26/14,23,7
Royal Challengers Bangalore,Sunrisers Hyderabad,by wickets,bat,U.A.E,Sunrisers Hyderabad,Royal Challengers Bangalore,Abu Dhabi,Sharjah Cricket Stadium,4/27/14,6,7
Rising Pune Super Giants,Kolkatta Knight Riders,by wickets,bat,U.A.E,Rising Pune Super Giants,Kolkatta Knight Riders,Abu Dhabi,Sharjah Cricket Stadium,4/27/14,5,7
Delhi Daredevils,Mumbai Indians,by wickets,field,U.A.E,Delhi Daredevils,Delhi Daredevils,Abu Dhabi,Dubai International Cricket Stadium,4/28/14,5,7
Sunrisers Hyderabad,Rising Pune Super Giants,by runs,field,U.A.E,Sunrisers Hyderabad,Rising Pune Super Giants,Abu Dhabi,Dubai International Cricket Stadium,4/30/14,15,7
Kolkatta Knight Riders,Chennai Super Kings,by runs,bat,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Ranchi,JSCA International Stadium Complex,5/2/14,34,7
Sunrisers Hyderabad,Delhi Daredevils,by wickets,bat,India,Delhi Daredevils,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,5/3/14,5,7
Royal Challengers Bangalore,Kings XI Punjab,by wickets,field,India,Kings XI Punjab,Kings XI Punjab,Delhi,Feroz Shah Kotla,5/3/14,7,7
Mumbai Indians,Rising Pune Super Giants,by wickets,field,India,Mumbai Indians,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,5/4/14,4,7
Kings XI Punjab,Chennai Super Kings,by runs,field,India,Chennai Super Kings,Kings XI Punjab,Ahmedabad,"Sardar Patel Stadium, Motera",5/5/14,10,7
Royal Challengers Bangalore,Kolkatta Knight Riders,by wickets,field,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Delhi,Feroz Shah Kotla,5/5/14,8,7
Sunrisers Hyderabad,Mumbai Indians,by runs,field,India,Mumbai Indians,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,5/6/14,19,7
Royal Challengers Bangalore,Chennai Super Kings,by wickets,bat,India,Royal Challengers Bangalore,Chennai Super Kings,Delhi,Feroz Shah Kotla,5/7/14,8,7
Delhi Daredevils,Kolkatta Knight Riders,by runs,field,India,Kolkatta Knight Riders,Delhi Daredevils,Cuttack,Barabati Stadium,5/7/14,44,7
Kings XI Punjab,Rising Pune Super Giants,by runs,field,India,Kings XI Punjab,Rising Pune Super Giants,Ahmedabad,"Sardar Patel Stadium, Motera",5/8/14,32,7
Mumbai Indians,Delhi Daredevils,by runs,field,India,Mumbai Indians,Delhi Daredevils,Bangalore,M Chinnaswamy Stadium,5/9/14,32,7
Royal Challengers Bangalore,Rising Pune Super Giants,by wickets,field,India,Rising Pune Super Giants,Rising Pune Super Giants,Delhi,Feroz Shah Kotla,5/10/14,8,7
Sunrisers Hyderabad,Kolkatta Knight Riders,by wickets,field,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Mumbai,Wankhede Stadium,5/10/14,4,7
Delhi Daredevils,Chennai Super Kings,by wickets,field,India,Chennai Super Kings,Chennai Super Kings,Cuttack,Barabati Stadium,5/11/14,9,7
Mumbai Indians,Kings XI Punjab,by wickets,bat,India,Mumbai Indians,Kings XI Punjab,Bangalore,M Chinnaswamy Stadium,5/11/14,5,7
Rising Pune Super Giants,Sunrisers Hyderabad,by wickets,bat,India,Rising Pune Super Giants,Sunrisers Hyderabad,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5/12/14,7,7
