Team_Name, Opponent_Name,Win_Type,Toss_Decision,Host_Country,Toss_Winner_Name,Match_Winner_Name,City_Name,Venue_Name,Match_Date,Won_By,Season_Id
Kolkatta Knight Riders,Kings XI Punjab,by wickets,bat,India,Kings XI Punjab,Kolkatta Knight Riders,Ranchi,JSCA International Stadium Complex,5/13/14,5,7
Mumbai Indians,Royal Challengers Bangalore,by runs,field,India,Royal Challengers Bangalore,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,5/13/14,16,7
Rising Pune Super Giants,Delhi Daredevils,by wickets,field,India,Delhi Daredevils,Delhi Daredevils,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5/14/14,6,7
Chennai Super Kings,Sunrisers Hyderabad,by wickets,field,India,Chennai Super Kings,Chennai Super Kings,Cuttack,Barabati Stadium,5/14/14,6,7
Kings XI Punjab,Royal Challengers Bangalore,by runs,field,India,Royal Challengers Bangalore,Kings XI Punjab,Ahmedabad,"Sardar Patel Stadium, Motera",5/15/14,62,7
Kolkatta Knight Riders,Mumbai Indians,by wickets,bat,India,Kolkatta Knight Riders,Mumbai Indians,Ranchi,JSCA International Stadium Complex,5/18/14,5,7
Rising Pune Super Giants,Chennai Super Kings,by wickets,bat,India,Rising Pune Super Giants,Chennai Super Kings,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5/18/14,7,7
Kings XI Punjab,Sunrisers Hyderabad,by runs,bat,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Ahmedabad,"Sardar Patel Stadium, Motera",5/19/14,25,7
Royal Challengers Bangalore,Delhi Daredevils,by wickets,field,India,Delhi Daredevils,Delhi Daredevils,Delhi,Feroz Shah Kotla,5/19/14,4,7
Rising Pune Super Giants,Mumbai Indians,by wickets,bat,India,Mumbai Indians,Rising Pune Super Giants,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5/20/14,7,7
Chennai Super Kings,Kolkatta Knight Riders,by wickets,field,India,Chennai Super Kings,Chennai Super Kings,Kolkata,Eden Gardens,5/20/14,8,7
Delhi Daredevils,Sunrisers Hyderabad,by wickets,field,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Chandigarh,"Punjab Cricket Association Stadium, Mohali",5/21/14,7,7
Chennai Super Kings,Mumbai Indians,by runs,field,India,Mumbai Indians,Chennai Super Kings,Kolkata,Eden Gardens,5/22/14,30,7
Kolkatta Knight Riders,Rising Pune Super Giants,by wickets,field,India,Rising Pune Super Giants,Rising Pune Super Giants,Ranchi,JSCA International Stadium Complex,5/22/14,6,7
Sunrisers Hyderabad,Royal Challengers Bangalore,by runs,field,India,Royal Challengers Bangalore,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,5/23/14,15,7
Delhi Daredevils,Kings XI Punjab,by runs,field,India,Kings XI Punjab,Delhi Daredevils,Chandigarh,"Punjab Cricket Association Stadium, Mohali",5/23/14,16,7
Mumbai Indians,Kolkatta Knight Riders,by wickets,field,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Bangalore,M Chinnaswamy Stadium,5/24/14,8,7
Chennai Super Kings,Rising Pune Super Giants,by wickets,field,India,Chennai Super Kings,Chennai Super Kings,Kolkata,Eden Gardens,5/24/14,4,7
Delhi Daredevils,Royal Challengers Bangalore,by wickets,field,India,Delhi Daredevils,Delhi Daredevils,Chandigarh,"Punjab Cricket Association Stadium, Mohali",5/25/14,7,7
Sunrisers Hyderabad,Kings XI Punjab,by wickets,field,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,5/25/14,5,7
Delhi Daredevils,Chennai Super Kings,by runs,field,India,Delhi Daredevils,Chennai Super Kings,Kolkata,Eden Gardens,5/27/14,28,7
Kolkatta Knight Riders,Sunrisers Hyderabad,by wickets,field,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Mumbai,Brabourne Stadium,5/28/14,7,7
Kolkatta Knight Riders,Delhi Daredevils,by runs,field,India,Kolkatta Knight Riders,Delhi Daredevils,Mumbai,Wankhede Stadium,5/30/14,24,7
Chennai Super Kings,Delhi Daredevils,by wickets,field,India,Chennai Super Kings,Chennai Super Kings,Bangalore,M Chinnaswamy Stadium,6/1/14,3,7
Chennai Super Kings,Sunrisers Hyderabad,by wickets,field,India,Chennai Super Kings,Chennai Super Kings,Kolkata,Eden Gardens,4/8/15,7,8
Kolkatta Knight Riders,Royal Challengers Bangalore,by runs,field,India,Royal Challengers Bangalore,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",4/9/15,1,8
Delhi Daredevils,Kings XI Punjab,by runs,field,India,Delhi Daredevils,Kings XI Punjab,Pune,Maharashtra Cricket Association Stadium,4/10/15,26,8
Kolkatta Knight Riders,Rising Pune Super Giants,by runs,bat,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",4/11/15,45,8
Chennai Super Kings,Mumbai Indians,by wickets,field,India,Mumbai Indians,Mumbai Indians,Kolkata,Eden Gardens,4/11/15,3,8
Royal Challengers Bangalore,Kings XI Punjab,by wickets,field,India,Kings XI Punjab,Kings XI Punjab,Delhi,Feroz Shah Kotla,4/12/15,3,8
Sunrisers Hyderabad,Delhi Daredevils,by runs,field,India,Sunrisers Hyderabad,Delhi Daredevils,Mumbai,Wankhede Stadium,4/12/15,18,8
Mumbai Indians,Rising Pune Super Giants,by wickets,field,India,Rising Pune Super Giants,Rising Pune Super Giants,Bangalore,M Chinnaswamy Stadium,4/13/15,8,8
Kings XI Punjab,Sunrisers Hyderabad,by wickets,bat,India,Sunrisers Hyderabad,Kings XI Punjab,Ahmedabad,"Sardar Patel Stadium, Motera",4/14/15,7,8
Chennai Super Kings,Kolkatta Knight Riders,by wickets,field,India,Chennai Super Kings,Chennai Super Kings,Kolkata,Eden Gardens,4/30/15,7,8
Delhi Daredevils,Royal Challengers Bangalore,by wickets,bat,India,Delhi Daredevils,Royal Challengers Bangalore,Pune,Maharashtra Cricket Association Stadium,4/15/15,5,8
Rising Pune Super Giants,Kings XI Punjab,by wickets,field,India,Kings XI Punjab,Kings XI Punjab,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,4/16/15,6,8
Sunrisers Hyderabad,Kolkatta Knight Riders,by wickets,bat,India,Sunrisers Hyderabad,Kolkatta Knight Riders,Mumbai,Wankhede Stadium,4/17/15,6,8
Rising Pune Super Giants,Royal Challengers Bangalore,by runs,bat,India,Royal Challengers Bangalore,Royal Challengers Bangalore,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,4/18/15,4,8
Delhi Daredevils,Chennai Super Kings,by wickets,field,India,Chennai Super Kings,Chennai Super Kings,Pune,Maharashtra Cricket Association Stadium,4/18/15,4,8
Kings XI Punjab,Kolkatta Knight Riders,by wickets,bat,India,Kolkatta Knight Riders,Kings XI Punjab,Ahmedabad,"Sardar Patel Stadium, Motera",4/19/15,8,8
Mumbai Indians,Sunrisers Hyderabad,by runs,field,India,Mumbai Indians,Sunrisers Hyderabad,Bangalore,M Chinnaswamy Stadium,4/19/15,18,8
Royal Challengers Bangalore,Chennai Super Kings,by wickets,field,India,Chennai Super Kings,Chennai Super Kings,Delhi,Feroz Shah Kotla,4/20/15,6,8
Rising Pune Super Giants,Chennai Super Kings,by runs,field,India,Chennai Super Kings,Rising Pune Super Giants,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,4/22/15,16,8
Mumbai Indians,Kolkatta Knight Riders,by runs,field,India,Mumbai Indians,Kolkatta Knight Riders,Bangalore,M Chinnaswamy Stadium,4/22/15,27,8
Royal Challengers Bangalore,Sunrisers Hyderabad,by runs,field,India,Sunrisers Hyderabad,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,4/23/15,37,8
Kings XI Punjab,Mumbai Indians,by wickets,field,India,Mumbai Indians,Mumbai Indians,Ahmedabad,"Sardar Patel Stadium, Motera",4/24/15,9,8
Sunrisers Hyderabad,Rising Pune Super Giants,by runs,bat,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,4/25/15,20,8
Kolkatta Knight Riders,Delhi Daredevils,by runs,bat,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",4/25/15,97,8
Royal Challengers Bangalore,Mumbai Indians,by wickets,field,India,Mumbai Indians,Mumbai Indians,Delhi,Feroz Shah Kotla,4/26/15,10,8
Delhi Daredevils,Rising Pune Super Giants,by runs,field,India,Delhi Daredevils,Rising Pune Super Giants,Chandigarh,"Punjab Cricket Association Stadium, Mohali",4/27/15,20,8
Chennai Super Kings,Royal Challengers Bangalore,by runs,bat,India,Chennai Super Kings,Chennai Super Kings,Kolkata,Eden Gardens,5/7/15,13,8
Kolkatta Knight Riders,Chennai Super Kings,by runs,field,India,Chennai Super Kings,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",4/28/15,2,8
Royal Challengers Bangalore,Delhi Daredevils,by wickets,field,India,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,5/1/15,9,8
Sunrisers Hyderabad,Kings XI Punjab,by runs,field,India,Kings XI Punjab,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,5/1/15,8,8
Mumbai Indians,Chennai Super Kings,by wickets,field,India,Mumbai Indians,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,5/2/15,7,8
Rising Pune Super Giants,Kolkatta Knight Riders,by runs,field,India,Kolkatta Knight Riders,Rising Pune Super Giants,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5/2/15,22,8
Delhi Daredevils,Sunrisers Hyderabad,by runs,bat,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Chandigarh,"Punjab Cricket Association Stadium, Mohali",5/3/15,23,8
Kings XI Punjab,Royal Challengers Bangalore,by runs,field,India,Royal Challengers Bangalore,Kings XI Punjab,Mumbai,Brabourne Stadium,5/3/15,14,8
Kolkatta Knight Riders,Mumbai Indians,by runs,bat,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",5/4/15,24,8
Chennai Super Kings,Rising Pune Super Giants,by runs,field,India,Rising Pune Super Giants,Chennai Super Kings,Kolkata,Eden Gardens,5/4/15,35,8
Sunrisers Hyderabad,Royal Challengers Bangalore,by wickets,bat,India,Royal Challengers Bangalore,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,5/5/15,5,8
Mumbai Indians,Delhi Daredevils,by runs,field,India,Delhi Daredevils,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,5/6/15,138,8
Kings XI Punjab,Rising Pune Super Giants,by runs,field,India,Kings XI Punjab,Rising Pune Super Giants,Mumbai,Brabourne Stadium,5/7/15,7,8
Kolkatta Knight Riders,Sunrisers Hyderabad,by wickets,bat,India,Kolkatta Knight Riders,Sunrisers Hyderabad,Chennai,"MA Chidambaram Stadium, Chepauk",5/8/15,6,8
Chennai Super Kings,Delhi Daredevils,by wickets,bat,India,Delhi Daredevils,Chennai Super Kings,Kolkata,Eden Gardens,5/9/15,1,8
Royal Challengers Bangalore,Rising Pune Super Giants,by runs,bat,India,Rising Pune Super Giants,Rising Pune Super Giants,Raipur,Shaheed Veer Narayan Singh International Stadium,5/9/15,6,8
Sunrisers Hyderabad,Mumbai Indians,by runs,bat,India,Mumbai Indians,Mumbai Indians,Mumbai,Wankhede Stadium,5/10/15,39,8
Kolkatta Knight Riders,Kings XI Punjab,by runs,bat,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",5/10/15,12,8
Rising Pune Super Giants,Delhi Daredevils,by runs,bat,India,Rising Pune Super Giants,Rising Pune Super Giants,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5/11/15,5,8
Royal Challengers Bangalore,Kolkatta Knight Riders,by wickets,bat,India,Kolkatta Knight Riders,Royal Challengers Bangalore,Raipur,Shaheed Veer Narayan Singh International Stadium,5/12/15,6,8
Delhi Daredevils,Mumbai Indians,by runs,field,India,Mumbai Indians,Delhi Daredevils,Chandigarh,"Punjab Cricket Association Stadium, Mohali",5/13/15,22,8
Sunrisers Hyderabad,Chennai Super Kings,by runs,field,India,Chennai Super Kings,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,5/14/15,5,8
Rising Pune Super Giants,Mumbai Indians,by wickets,bat,India,Rising Pune Super Giants,Mumbai Indians,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5/15/15,6,8
Delhi Daredevils,Kolkatta Knight Riders,by wickets,bat,India,Delhi Daredevils,Kolkatta Knight Riders,Chandigarh,"Punjab Cricket Association Stadium, Mohali",5/16/15,7,8
Kings XI Punjab,Chennai Super Kings,by runs,bat,India,Kings XI Punjab,Kings XI Punjab,Mumbai,Brabourne Stadium,5/16/15,9,8
Rising Pune Super Giants,Sunrisers Hyderabad,by wickets,bat,India,Rising Pune Super Giants,Sunrisers Hyderabad,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5/17/15,9,8
Kolkatta Knight Riders,Sunrisers Hyderabad,by runs,bat,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,5/19/15,25,8
Mumbai Indians,Kings XI Punjab,by runs,bat,India,Mumbai Indians,Mumbai Indians,Pune,Maharashtra Cricket Association Stadium,5/20/15,71,8
Kolkatta Knight Riders,Mumbai Indians,by wickets,field,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Ranchi,JSCA International Stadium Complex,5/22/15,3,8
Sunrisers Hyderabad,Kolkatta Knight Riders,by runs,field,India,Kolkatta Knight Riders,Sunrisers Hyderabad,Kolkata,Eden Gardens,5/24/15,41,8
Chennai Super Kings,Royal Challengers Bangalore,by wickets,field,India,Chennai Super Kings,Chennai Super Kings,Kolkata,Eden Gardens,4/10/16,9,9
Delhi Daredevils,Rising Pune Super Giants,by wickets,field,India,Rising Pune Super Giants,Pune Warriors,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",4/11/16,5,9
Mumbai Indians,Rising Pune Super Giants,by runs,field,India,Rising Pune Super Giants,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,4/12/16,45,9
Chennai Super Kings,Sunrisers Hyderabad,by wickets,field,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata,Eden Gardens,4/13/16,6,9
Rising Pune Super Giants,Sunrisers Hyderabad,by wickets,bat,India,Sunrisers Hyderabad,Pune Warriors,Rajkot,Saurashtra Cricket Association Stadium,4/14/16,7,9
Royal Challengers Bangalore,Delhi Daredevils,by wickets,field,India,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,4/15/16,8,9
Rising Pune Super Giants,Chennai Super Kings,by wickets,bat,India,Rising Pune Super Giants,Chennai Super Kings,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",4/16/16,8,9
Sunrisers Hyderabad,Rising Pune Super Giants,by wickets,field,India,Rising Pune Super Giants,Pune Warriors,Mumbai,Wankhede Stadium,4/16/16,3,9
Delhi Daredevils,Sunrisers Hyderabad,by wickets,bat,India,Sunrisers Hyderabad,Delhi Daredevils,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",4/17/16,6,9
Mumbai Indians,Royal Challengers Bangalore,by wickets,field,India,Royal Challengers Bangalore,Royal Challengers Bangalore,Bangalore,M Chinnaswamy Stadium,4/17/16,7,9
Rising Pune Super Giants,Sunrisers Hyderabad,by wickets,field,India,Rising Pune Super Giants,Rising Pune Super Giants,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",4/18/16,7,9
Delhi Daredevils,Chennai Super Kings,by wickets,field,India,Chennai Super Kings,Chennai Super Kings,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",4/19/16,6,9
Sunrisers Hyderabad,Mumbai Indians,by wickets,field,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,4/20/16,6,9
Sunrisers Hyderabad,Mumbai Indians,by runs,field,India,Sunrisers Hyderabad,Mumbai Indians,Pune,Maharashtra Cricket Association Stadium,4/22/16,13,9
Royal Challengers Bangalore,Sunrisers Hyderabad,by runs,field,India,Sunrisers Hyderabad,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,4/23/16,10,9
Rising Pune Super Giants,Delhi Daredevils,by wickets,field,India,Rising Pune Super Giants,Rising Pune Super Giants,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",4/23/16,5,9
Rising Pune Super Giants,Mumbai Indians,by wickets,bat,India,Mumbai Indians,Pune Warriors,Rajkot,Saurashtra Cricket Association Stadium,4/24/16,6,9
Sunrisers Hyderabad,Chennai Super Kings,by wickets,field,India,Chennai Super Kings,Chennai Super Kings,Pune,Maharashtra Cricket Association Stadium,4/24/16,2,9
Delhi Daredevils,Sunrisers Hyderabad,by runs,field,India,Delhi Daredevils,Sunrisers Hyderabad,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",4/25/16,25,9
Rising Pune Super Giants,Sunrisers Hyderabad,by runs,field,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",4/26/16,34,9
Royal Challengers Bangalore,Rising Pune Super Giants,by runs,field,India,Royal Challengers Bangalore,Pune Warriors,Delhi,Feroz Shah Kotla,4/27/16,1,9
Sunrisers Hyderabad,Chennai Super Kings,by wickets,field,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,4/28/16,6,9
Sunrisers Hyderabad,Rising Pune Super Giants,by wickets,field,India,Rising Pune Super Giants,Pune Warriors,Pune,Maharashtra Cricket Association Stadium,4/29/16,3,9
Royal Challengers Bangalore,Chennai Super Kings,by runs,field,India,Chennai Super Kings,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,4/30/16,27,9
Rising Pune Super Giants,Mumbai Indians,by runs,field,India,Mumbai Indians,Rising Pune Super Giants,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",4/30/16,15,9
Rising Pune Super Giants,Delhi Daredevils,by runs,field,India,Rising Pune Super Giants,Delhi Daredevils,Rajkot,Saurashtra Cricket Association Stadium,5/1/16,23,9
Mumbai Indians,Chennai Super Kings,by wickets,field,India,Chennai Super Kings,Chennai Super Kings,Bangalore,M Chinnaswamy Stadium,5/2/16,5,9
Rising Pune Super Giants,Royal Challengers Bangalore,by wickets,field,India,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajkot,Saurashtra Cricket Association Stadium,5/3/16,8,9
Chennai Super Kings,Delhi Daredevils,by runs,field,India,Delhi Daredevils,Chennai Super Kings,Kolkata,Eden Gardens,5/4/16,7,9
Royal Challengers Bangalore,Sunrisers Hyderabad,by wickets,field,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi,Feroz Shah Kotla,5/5/16,7,9
Mumbai Indians,Sunrisers Hyderabad,by wickets,field,India,Mumbai Indians,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,5/7/16,7,9
Delhi Daredevils,Royal Challengers Bangalore,by runs,field,India,Royal Challengers Bangalore,Delhi Daredevils,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",5/7/16,9,9
Sunrisers Hyderabad,Rising Pune Super Giants,by runs,field,India,Sunrisers Hyderabad,Rising Pune Super Giants,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,5/8/16,85,9
Chennai Super Kings,Rising Pune Super Giants,by wickets,field,India,Rising Pune Super Giants,Pune Warriors,Kolkata,Eden Gardens,5/8/16,5,9
Delhi Daredevils,Mumbai Indians,by runs,field,India,Delhi Daredevils,Mumbai Indians,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",5/9/16,1,9
Sunrisers Hyderabad,Rising Pune Super Giants,by runs,bat,India,Rising Pune Super Giants,Rising Pune Super Giants,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,5/10/16,4,9
Mumbai Indians,Sunrisers Hyderabad,by wickets,field,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Bangalore,M Chinnaswamy Stadium,5/11/16,6,9
Rising Pune Super Giants,Royal Challengers Bangalore,by wickets,field,India,Royal Challengers Bangalore,Royal Challengers Bangalore,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5/12/16,7,9
Sunrisers Hyderabad,Delhi Daredevils,by wickets,bat,India,Sunrisers Hyderabad,Delhi Daredevils,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,5/13/16,7,9
Mumbai Indians,Rising Pune Super Giants,by runs,field,India,Rising Pune Super Giants,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,5/14/16,144,9
Chennai Super Kings,Sunrisers Hyderabad,by wickets,bat,India,Sunrisers Hyderabad,Chennai Super Kings,Kolkata,Eden Gardens,5/14/16,8,9
Delhi Daredevils,Rising Pune Super Giants,by wickets,bat,India,Delhi Daredevils,Rising Pune Super Giants,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",5/15/16,7,9
Sunrisers Hyderabad,Royal Challengers Bangalore,by runs,field,India,Royal Challengers Bangalore,Sunrisers Hyderabad,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,5/15/16,80,9
Chennai Super Kings,Mumbai Indians,by wickets,field,India,Mumbai Indians,Mumbai Indians,Kolkata,Eden Gardens,5/16/16,9,9
Sunrisers Hyderabad,Royal Challengers Bangalore,by runs,field,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,5/17/16,19,9
Mumbai Indians,Delhi Daredevils,by runs,field,India,Delhi Daredevils,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,5/18/16,82,9
Rising Pune Super Giants,Chennai Super Kings,by wickets,field,India,Rising Pune Super Giants,Pune Warriors,Kanpur,Green Park,5/19/16,6,9
Royal Challengers Bangalore,Rising Pune Super Giants,by wickets,field,India,Royal Challengers Bangalore,Royal Challengers Bangalore,Raipur,Shaheed Veer Narayan Singh International Stadium,5/20/16,6,9
Sunrisers Hyderabad,Delhi Daredevils,by wickets,bat,India,Delhi Daredevils,Sunrisers Hyderabad,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,5/21/16,4,9
Rising Pune Super Giants,Sunrisers Hyderabad,by wickets,field,India,Rising Pune Super Giants,Pune Warriors,Kanpur,Green Park,5/21/16,6,9
Chennai Super Kings,Rising Pune Super Giants,by runs,field,India,Rising Pune Super Giants,Chennai Super Kings,Kolkata,Eden Gardens,5/22/16,22,9
Royal Challengers Bangalore,Mumbai Indians,by wickets,field,India,Mumbai Indians,Mumbai Indians,Raipur,Shaheed Veer Narayan Singh International Stadium,5/22/16,6,9
Rising Pune Super Giants,Mumbai Indians,by wickets,field,India,Mumbai Indians,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,5/24/16,4,9
Rising Pune Super Giants,Chennai Super Kings,by runs,field,India,Chennai Super Kings,Rising Pune Super Giants,Delhi,Feroz Shah Kotla,5/25/16,22,9
Mumbai Indians,Rising Pune Super Giants,by runs,bat,India,Rising Pune Super Giants,Rising Pune Super Giants,Bangalore,M Chinnaswamy Stadium,5/29/16,8,9